sample_idx,original_idx,text,name,label,bert_pred,bert_proba1,category
0,0,Конфеты,Алёнка; Alyonka; Alenka,0,1,0.91197014,label_noise
1,1,Центр,Лексус Альянс-Мотор Тюмень; Lexus Alyans-Motor Tyumen; Alyans Motor; Альянс Мотор; Лексус-центр; Alyans Motor Tyumen; Lexus,0,1,0.7644476,other
2,2,для отелей,А-сьют; A-suite; Гостевой Дом А-Сьют; Гостевой дом; Гостевой дом А-сьют; A-S'yut Guest House; Guest House A-suite,0,1,0.7823404,other
3,3,бронирование телефонов,Bronoskins; Bronoskins ТРЦ Галерея; Bronoskins Nsk,0,1,0.8379429,label_noise
4,4,категория мопед,Автокласс; Avto-Klass; АвтоКласс; Авто-класс; Автошкола; Автошкола АвтоКласс Чноу ДО; Avtoshkola AvtoKlass ChNOU Do; Авто-Класс,1,0,0.20027502,requires_search
5,5,где поесть в петергофе недорого,Кладовая; Kladovaya; Ресторан Кладовая,0,1,0.8592379,fact_verification
6,6,где покушать на вднх недорого и вкусно,Все Лень; Restaurant Vse Len; Всё лень; Ресторан Все Лень; Vse Len,0,1,0.9123581,fact_verification
7,7,курганские сауны,Аквалэнд; Akvalend; Акваленд; Банный комплекс Аквалэнд ООО; Banny kompleks Akvalend,1,0,0.072647266,hard_semantic
8,8,ессентуки отдых со всей семьей,"Туристический центр Ессентуки; Turistichesky tsentr Essentuki; Touristic centre; Ессентуки, ИП; Ессентуки, Туристический центр, ИП; Лайцан Вячеслав Петрович, ИП; Туристический центр; Турцентр Ессентуки; Turistichesky tsentr Yessentuki",1,0,0.22226726,label_noise
9,9,сколько стоит мазь нистатиновая  знаменска,Горздрав; Gorzdrav; GorZdrav; Аптеки Оптовых Цен Горздрав; ГОРЗДРАВ; ГорЗдрав; Горздрав аптека № 503,1,0,0.1812583,non_navigational
10,10,Магазин 24,Лемана Про; Lemana Pro; Leroy Merlin; Леруа Мерлен,0,1,0.78136426,hard_semantic
11,11,лучшие зубные клиники в москве,МираДент; MiraDent; Мирадент; Стоматологическая клиника МираДент; Стоматологическая клиника Мирадент; Стоматология МираДент; Dental Clinic MiraDent; Stomatologiya_miradent,1,0,0.24896516,requires_search
12,12,где поесть круглосуточно на арбате,Istanbul; Стамбул,1,0,0.085876055,requires_search
13,13,гинкго купить,Русские Корни; Russkiye Korni; Магазин трав Русские Корни; Magazin trav Russkiye Korni,1,0,0.19670306,hard_semantic
14,14,купить гейнер пушкино,Брутал; Brutal,1,0,0.10123321,hard_semantic
15,15,диван фабрики елена,Галерея; Galereya; Галерея Мебель Италии; Галерея на Пресне; Мебельный салон Галерея,1,0,0.17807893,requires_search
16,16,кожухово электрик жэк,"ЖЭУ № 3; Zeu-3; Г. Люберцы Городской Жилищный Трест ЖЭУп № 3; Городской жилищный трест ЖЭУ № 3; ЖЭУ № 3 Люберецкого городского жилищного треста; ЛГЖТ, ЖЭУ № 3; ЛГЖТ, ЖЭУ №3",1,0,0.19341977,label_noise
17,17,парикмахерская которая работает до 22:00 Кумертау,"Колибри; Kolibri; Sugar_kumet; Колибри, парикмахеры, депиляция",1,0,0.0742728,label_noise
18,18,сайте органа правосудия,"Правосудие; Правосудие, юридическая компания",0,1,0.8857482,non_navigational
19,19,поставить ттп,Союз Торгово-промышленная палата Краснодарского края; Tpp po Krasnodarskomu krayu; ТПП Краснодарского края; Союз; Союз ТПП Краснодарского края; ТПП по Краснодарскому краю; ТПП России. ТПП Краснодарского края; Торгово-промышленная палата Краснодарского края,0,1,0.8044768,hard_semantic
20,20,массаж для женщин в москве,Вай Тай; Wai Thai,1,0,0.16812469,hard_semantic
21,21,санторини на чайковского,Santorini; Санторини,0,1,0.80565137,fact_verification
22,22,печать на футболках солнечногорск,Типография Поло-Принт; Polo-Print; Поло-принт,1,0,0.14848043,hard_semantic
